epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2808.07,1.57372,2.02491,1.69797,0.86211,0.59329,0.6528,0.34202,1.79182,1.44976,1.62017,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2893.64,1.55085,1.96176,1.66469,0.87778,0.59124,0.66531,0.3446,1.7181,1.43749,1.57225,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2978.92,1.5441,1.93323,1.66463,0.84292,0.58757,0.66807,0.33172,1.70453,1.47788,1.58055,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3064.39,1.54777,1.92637,1.65567,0.85544,0.61314,0.70107,0.37805,1.68337,1.33434,1.5568,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3150.45,1.53741,1.9343,1.64729,0.83608,0.59854,0.67295,0.34736,1.71736,1.42196,1.59616,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3235.43,1.53817,1.90762,1.65467,0.84149,0.63504,0.68646,0.34091,1.76571,1.4864,1.61175,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3320.86,1.54477,1.91438,1.64739,0.86824,0.59854,0.68471,0.36141,1.7441,1.41668,1.5876,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3407.52,1.49063,1.82171,1.6063,0.87015,0.62774,0.69143,0.36081,1.7543,1.40214,1.60671,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3492.91,1.50223,1.83409,1.60801,0.89518,0.61314,0.70726,0.38006,1.65297,1.37362,1.55404,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3579,1.50763,1.84503,1.63354,0.85911,0.61314,0.6972,0.37118,1.69437,1.3817,1.56127,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3663.81,1.49657,1.79882,1.60582,0.90353,0.59124,0.69541,0.38282,1.66928,1.35258,1.56774,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3748.97,1.48226,1.83474,1.60995,0.83661,0.63535,0.69676,0.39026,1.6589,1.36432,1.58439,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3835.08,1.47306,1.75172,1.59219,0.81486,0.64253,0.70126,0.37227,1.67225,1.3413,1.55265,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3921.28,1.48194,1.736,1.59956,0.86323,0.64497,0.70594,0.37956,1.60164,1.32378,1.52853,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4007.28,1.45364,1.70715,1.58215,0.8677,0.62235,0.70428,0.38868,1.62016,1.27577,1.5348,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4093.29,1.4701,1.73668,1.5787,0.95406,0.63504,0.71729,0.39242,1.66262,1.31348,1.54267,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4179.07,1.43641,1.68259,1.55896,0.85369,0.62044,0.70653,0.38229,1.61645,1.29356,1.52279,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4264.29,1.43476,1.65548,1.54881,0.86767,0.62218,0.70732,0.38302,1.64554,1.28848,1.53996,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4350.58,1.41876,1.63627,1.53301,0.84412,0.63243,0.70611,0.38435,1.62046,1.32098,1.52247,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4437.29,1.41055,1.62044,1.54257,0.86503,0.67153,0.71952,0.38612,1.63548,1.33946,1.54652,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4522.96,1.41969,1.61397,1.53669,0.91511,0.62774,0.71489,0.3772,1.69384,1.30055,1.5755,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4609.17,1.40507,1.59103,1.52285,0.96618,0.60584,0.7056,0.37494,1.74088,1.26041,1.61829,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4695.66,1.40446,1.59169,1.52279,0.92891,0.60584,0.68358,0.38576,1.64389,1.32437,1.53877,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4781.67,1.3861,1.5561,1.50664,0.91162,0.59854,0.68747,0.38219,1.67439,1.32443,1.53358,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4867.51,1.37944,1.54083,1.5052,0.93103,0.59123,0.69911,0.37328,1.71322,1.30132,1.57499,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4953.57,1.36217,1.5066,1.488,0.95712,0.59124,0.703,0.38044,1.69158,1.25711,1.56145,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5038.89,1.37063,1.51734,1.49492,0.91884,0.59854,0.70031,0.38185,1.69336,1.27925,1.55167,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5123.92,1.35463,1.4928,1.47921,0.93484,0.6283,0.71489,0.39024,1.66953,1.28964,1.53667,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5210.2,1.34522,1.49027,1.47705,0.93498,0.59854,0.7162,0.38467,1.63432,1.29843,1.51447,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5295.74,1.33384,1.44146,1.46214,0.8691,0.63002,0.70456,0.38921,1.62525,1.28395,1.5355,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5382.41,1.32692,1.45094,1.46309,0.85652,0.65365,0.71131,0.39052,1.64831,1.26676,1.55147,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5469.03,1.31549,1.4078,1.44855,0.95334,0.59124,0.70357,0.38944,1.66535,1.25437,1.55014,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5554.58,1.32702,1.41047,1.4535,0.86016,0.64234,0.70925,0.39302,1.65816,1.25619,1.54572,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5641.87,1.30534,1.40347,1.4424,0.92626,0.60584,0.70524,0.39605,1.66437,1.27632,1.54646,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5726.42,1.3,1.37139,1.43168,0.8777,0.64964,0.71901,0.39606,1.63724,1.29434,1.54758,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5812.08,1.29335,1.39096,1.42688,0.92832,0.62044,0.7184,0.3925,1.67701,1.30579,1.57145,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5898.15,1.28728,1.34612,1.42002,0.86283,0.68873,0.72562,0.39621,1.66106,1.29118,1.55545,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5985.77,1.28618,1.35643,1.41844,0.92598,0.65693,0.7291,0.40631,1.66647,1.27908,1.55533,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6070.4,1.26643,1.32077,1.40933,0.9285,0.66352,0.72445,0.40162,1.66204,1.30551,1.55908,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6153.5,1.26906,1.33389,1.41454,0.92694,0.67153,0.72062,0.39794,1.64588,1.27805,1.55152,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6236.05,1.25783,1.32419,1.40098,0.92491,0.65693,0.72238,0.39961,1.66802,1.26907,1.55394,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
