conf,accuracy,precision,recall,f1_score,avg_latency_ms,std_latency_ms
0.05,0.8666666666666667,0.9259259259259259,0.8064516129032258,0.8620689655172413,72.09101333355648,10.101861590410287
0.06,0.8708333333333333,0.9345794392523364,0.8064516129032258,0.8658008658008658,70.96064166665504,9.904196959255147
0.07,0.8791666666666667,0.9523809523809523,0.8064516129032258,0.8733624454148472,69.41248416709034,7.426916061949873
0.08,0.8708333333333333,0.9514563106796117,0.7903225806451613,0.8634361233480177,68.89998708308364,6.66892387610815
0.09,0.8666666666666667,0.9509803921568627,0.782258064516129,0.8584070796460177,68.89473958314436,6.101019498869487
0.1,0.8666666666666667,0.9509803921568627,0.782258064516129,0.8584070796460177,73.31832083352008,9.847483817674764
0.11,0.8666666666666667,0.9509803921568627,0.782258064516129,0.8584070796460177,72.41711916600859,10.659459641371113
0.12,0.8708333333333333,0.9603960396039604,0.782258064516129,0.8622222222222222,69.95513166621095,7.806051989800793
0.13,0.8708333333333333,0.9696969696969697,0.7741935483870968,0.8609865470852018,71.5337341663447,9.009813919091064
0.14,0.8708333333333333,0.979381443298969,0.7661290322580645,0.8597285067873304,71.03106166578073,6.962789911036552
0.15,0.8666666666666667,0.9791666666666666,0.7580645161290323,0.8545454545454545,70.50801874914517,6.621005384846282
0.16,0.8666666666666667,0.9791666666666666,0.7580645161290323,0.8545454545454545,70.30297958323597,6.804484189938121
0.17,0.8666666666666667,0.9791666666666666,0.7580645161290323,0.8545454545454545,71.2468616677749,9.4469845838379
0.18,0.8625,0.9789473684210527,0.75,0.8493150684931506,70.87608083468997,7.168800527257388
0.19,0.8625,0.9789473684210527,0.75,0.8493150684931506,72.68316916682427,7.703400385587457
0.2,0.8625,0.9789473684210527,0.75,0.8493150684931506,71.53717166668987,7.838945400366089
0.21,0.8625,0.9789473684210527,0.75,0.8493150684931506,72.8431245827475,8.673909476684747
0.22,0.8666666666666667,1.0,0.7419354838709677,0.8518518518518519,77.09674083380378,18.65006180031606
0.23,0.8666666666666667,1.0,0.7419354838709677,0.8518518518518519,72.68341083351213,7.352820893586837
0.24,0.8625,1.0,0.7338709677419355,0.8465116279069768,72.21613916747931,7.6983240077579635
0.25,0.8583333333333333,1.0,0.7258064516129032,0.8411214953271028,72.52388458424927,8.169094750515299
0.26,0.8583333333333333,1.0,0.7258064516129032,0.8411214953271028,73.00637916766088,8.555287308986918
0.27,0.8583333333333333,1.0,0.7258064516129032,0.8411214953271028,70.45005666647437,6.8753990866515435
0.28,0.8583333333333333,1.0,0.7258064516129032,0.8411214953271028,71.96867666595305,8.152074352435141
0.29,0.8583333333333333,1.0,0.7258064516129032,0.8411214953271028,71.50460499991216,7.667733994768905
0.3,0.85,1.0,0.7096774193548387,0.8301886792452831,73.27897541629984,8.682257646166983
0.31,0.8458333333333333,1.0,0.7016129032258065,0.8246445497630331,72.39239708530174,8.77300760526695
0.32,0.8458333333333333,1.0,0.7016129032258065,0.8246445497630331,71.5913579165014,7.653144746234581
0.33,0.8416666666666667,1.0,0.6935483870967742,0.819047619047619,71.2512249994082,8.211733041037345
0.34,0.8416666666666667,1.0,0.6935483870967742,0.819047619047619,71.44979333412873,7.4869874991605565
0.35,0.8375,1.0,0.6854838709677419,0.8133971291866029,71.72109624953009,7.597504080013992
0.36,0.8375,1.0,0.6854838709677419,0.8133971291866029,73.69042625056561,8.600247992906986
0.37,0.8375,1.0,0.6854838709677419,0.8133971291866029,82.39928874936595,11.951484755034787
0.38,0.8375,1.0,0.6854838709677419,0.8133971291866029,72.43779458379625,7.420179739839612
0.39,0.8333333333333334,1.0,0.6774193548387096,0.8076923076923077,72.61797833283102,7.418391089771481
0.4,0.8166666666666667,1.0,0.6451612903225806,0.7843137254901961,71.31799416504994,7.5986835387509695
0.41,0.8125,1.0,0.6370967741935484,0.7783251231527094,71.67920166599895,7.6439721143189265
0.42,0.8125,1.0,0.6370967741935484,0.7783251231527094,71.85956291747668,7.772161158974478
0.43,0.8125,1.0,0.6370967741935484,0.7783251231527094,71.68888958367461,8.319397993524719
0.44,0.8083333333333333,1.0,0.6290322580645161,0.7722772277227723,73.0236591664531,7.943236270304032
0.45,0.8041666666666667,1.0,0.6209677419354839,0.7661691542288557,71.50156875068205,6.152121745253437
0.46,0.8041666666666667,1.0,0.6209677419354839,0.7661691542288557,74.29922625051404,8.835160542108664
0.47,0.8041666666666667,1.0,0.6209677419354839,0.7661691542288557,73.347901250357,8.664725179653987
0.48,0.8,1.0,0.6129032258064516,0.76,74.26565291716543,8.233249145790829
0.49,0.8,1.0,0.6129032258064516,0.76,71.91597749976306,7.755197049781951
0.5,0.8,1.0,0.6129032258064516,0.76,72.1683037509744,7.261582168950353
0.51,0.8,1.0,0.6129032258064516,0.76,71.55521749931115,7.4057845312877255
0.52,0.8,1.0,0.6129032258064516,0.76,72.59137916577554,7.402666722069293
0.53,0.8,1.0,0.6129032258064516,0.76,71.61656958269305,9.840579804425495
0.54,0.7875,1.0,0.5887096774193549,0.7411167512690355,72.64891625030334,7.7699653152532955
