epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3798.38,1.4566,1.66968,1.60216,0.85052,0.62302,0.70525,0.38467,1.62695,1.3429,1.59684,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3916.55,1.4645,1.67957,1.60873,0.83991,0.62044,0.68435,0.36683,1.68899,1.3708,1.60374,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4035.15,1.44649,1.63489,1.59562,0.83633,0.61314,0.68696,0.3683,1.67978,1.38275,1.59682,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4153.09,1.41844,1.5781,1.56279,0.86152,0.66423,0.71319,0.37563,1.67485,1.2682,1.56103,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4270.51,1.4308,1.60849,1.57588,0.96435,0.59239,0.69453,0.3826,1.70514,1.35205,1.58052,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4388.57,1.40025,1.55765,1.54629,0.94639,0.59854,0.69712,0.3787,1.64961,1.34591,1.54061,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4506.46,1.40229,1.53378,1.55105,0.83994,0.65118,0.69383,0.37496,1.66031,1.37089,1.56394,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4628.78,1.38289,1.52133,1.54122,0.83522,0.62896,0.69846,0.36659,1.76804,1.40073,1.65347,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4758.12,1.37711,1.46588,1.52828,0.90648,0.62044,0.69894,0.39572,1.68406,1.33002,1.57005,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4886.9,1.36304,1.44549,1.51252,0.93107,0.63504,0.70878,0.39086,1.60521,1.26955,1.54106,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5015.27,1.35627,1.45103,1.50755,0.88865,0.66423,0.71715,0.38489,1.68374,1.30053,1.57199,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5145.03,1.33962,1.42801,1.49375,0.8729,0.63504,0.70202,0.37872,1.71265,1.30939,1.59873,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5273.49,1.32017,1.40563,1.48474,0.9727,0.57664,0.69255,0.3695,1.73559,1.33268,1.61889,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5401.11,1.31957,1.38366,1.47464,0.8734,0.65465,0.72298,0.3922,1.68734,1.28596,1.57034,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5529.47,1.32148,1.37603,1.48242,0.80923,0.64964,0.70806,0.37959,1.67407,1.28057,1.5613,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5658.53,1.29914,1.36873,1.46001,0.91051,0.65693,0.72984,0.39195,1.65349,1.23726,1.54722,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5787.62,1.28822,1.30626,1.44223,0.93936,0.62774,0.71258,0.38796,1.65725,1.27441,1.56956,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5916.25,1.27694,1.32284,1.43505,0.92755,0.65417,0.72547,0.4089,1.68001,1.22657,1.53389,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6045.38,1.27235,1.28809,1.427,0.93578,0.63813,0.71992,0.40023,1.67659,1.30243,1.52548,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6172.78,1.24939,1.24247,1.41304,0.87618,0.67146,0.71521,0.39524,1.67324,1.27737,1.53695,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6284.84,1.23986,1.24515,1.40983,0.9282,0.66056,0.72553,0.39073,1.67223,1.20792,1.57854,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6396.86,1.2393,1.2306,1.41258,0.91102,0.67261,0.72556,0.38593,1.73361,1.23211,1.62009,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6508.81,1.23618,1.22521,1.39124,0.91097,0.6722,0.72353,0.40716,1.64777,1.26364,1.5561,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6621.43,1.2121,1.20734,1.38865,0.90032,0.64964,0.70405,0.39962,1.63714,1.23837,1.57555,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6733.87,1.21111,1.18491,1.38274,0.87576,0.67153,0.7215,0.40549,1.60588,1.18057,1.55875,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,6846.21,1.19657,1.18229,1.3759,0.9062,0.66423,0.72572,0.39803,1.62253,1.21985,1.55962,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6958.58,1.18555,1.14859,1.36146,0.87249,0.64964,0.71132,0.39377,1.67672,1.27296,1.58485,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7070.91,1.17752,1.1047,1.34475,0.88291,0.66046,0.72105,0.40067,1.65134,1.25008,1.56769,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7183.18,1.15929,1.11817,1.33309,0.91073,0.64234,0.71806,0.3982,1.63771,1.25501,1.54534,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7295.67,1.15787,1.10044,1.33391,0.91269,0.63504,0.71693,0.40446,1.65724,1.22026,1.56252,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7408.02,1.14327,1.09597,1.32069,0.92894,0.63504,0.71934,0.41182,1.62482,1.22668,1.53798,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7520.51,1.1245,1.06799,1.31146,0.87235,0.65693,0.71482,0.40524,1.62206,1.19355,1.54249,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7633.04,1.12458,1.05197,1.3121,0.90824,0.64234,0.71461,0.39611,1.6449,1.24711,1.54844,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7745.48,1.12596,1.03487,1.30446,0.90805,0.65693,0.71151,0.40463,1.63617,1.27344,1.54877,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7857.98,1.12253,1.04056,1.31568,0.95547,0.62774,0.69633,0.39757,1.62321,1.25701,1.54275,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7971.49,1.10302,1.03267,1.28388,0.98259,0.63504,0.70529,0.39497,1.67454,1.2739,1.54271,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8083.67,1.08455,0.99623,1.26869,0.9878,0.63504,0.71601,0.40624,1.65957,1.22555,1.529,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
