epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3324.87,1.56001,2.06356,1.72355,0.89943,0.63504,0.69162,0.36827,1.74334,1.51639,1.63935,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3426.51,1.56578,2.04399,1.72263,0.83373,0.58565,0.65082,0.35224,1.66098,1.58748,1.55126,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3527.43,1.54273,2.01425,1.70823,0.88371,0.59854,0.6655,0.34846,1.73254,1.50576,1.64219,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3628.06,1.53499,1.97726,1.70087,0.8804,0.59106,0.67535,0.36056,1.74042,1.5098,1.65135,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3729.34,1.51863,1.93489,1.68445,0.92134,0.59844,0.69189,0.36253,1.74327,1.3832,1.66439,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3829.55,1.50634,1.91146,1.67405,0.93172,0.60584,0.69305,0.38156,1.70928,1.47224,1.58624,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3930.8,1.50566,1.91438,1.68186,0.85962,0.61314,0.68765,0.373,1.7676,1.40509,1.61869,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4033.31,1.50825,1.87735,1.67261,0.90085,0.59854,0.67219,0.37001,1.7158,1.35643,1.61613,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4134.43,1.49053,1.86089,1.65913,0.89389,0.61491,0.69157,0.36771,1.71105,1.35607,1.60456,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4235.95,1.47554,1.82563,1.64147,0.93346,0.56934,0.68685,0.37352,1.71933,1.42148,1.6093,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4337.33,1.47144,1.81501,1.64717,0.8393,0.64808,0.69852,0.3725,1.71508,1.4107,1.59311,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4437.83,1.46242,1.78507,1.64049,0.88862,0.63504,0.69055,0.37866,1.71406,1.40144,1.59819,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4539.13,1.4532,1.74792,1.62044,0.8393,0.64964,0.6976,0.36494,1.71108,1.37951,1.61828,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4640.85,1.45054,1.76642,1.62066,0.8357,0.63116,0.68895,0.3805,1.68329,1.35554,1.59873,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4741.97,1.43992,1.73391,1.62335,0.87108,0.63504,0.70582,0.39001,1.6556,1.32601,1.58852,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4842.59,1.42938,1.70383,1.60727,0.88894,0.61314,0.69723,0.38335,1.66953,1.33579,1.5929,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4943.45,1.4305,1.68728,1.59595,0.96944,0.59854,0.70316,0.39531,1.69227,1.31912,1.59351,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,5044.9,1.40897,1.65564,1.57667,0.92116,0.597,0.71038,0.3966,1.66233,1.29402,1.56,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,5146.6,1.41051,1.66379,1.58217,0.84886,0.65593,0.70956,0.38717,1.68191,1.28027,1.57026,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5249.02,1.40438,1.65076,1.57429,0.94141,0.64964,0.7228,0.40112,1.63547,1.23749,1.56604,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5350.51,1.38273,1.61199,1.56653,0.86032,0.65693,0.71273,0.40963,1.62345,1.29578,1.56413,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5451.99,1.40129,1.62441,1.56583,0.89611,0.61314,0.7057,0.39781,1.66927,1.27214,1.57323,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5553.85,1.38813,1.57953,1.54449,0.88892,0.64252,0.72113,0.39575,1.6676,1.23153,1.58415,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5656.25,1.38309,1.58307,1.542,0.95573,0.63038,0.71475,0.39297,1.6919,1.2459,1.56773,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5757.76,1.35849,1.52255,1.52264,0.97723,0.62644,0.7127,0.38418,1.69963,1.22144,1.58704,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5860.05,1.3485,1.52845,1.51324,0.90688,0.64964,0.71529,0.38773,1.65734,1.22018,1.56768,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5961.4,1.36496,1.5236,1.53524,0.92445,0.64234,0.70698,0.39278,1.65425,1.22894,1.55574,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,6062.46,1.3425,1.4807,1.51764,0.95203,0.64234,0.71364,0.38828,1.67874,1.26894,1.56878,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,6163.27,1.32184,1.46703,1.492,0.96089,0.62044,0.71366,0.40537,1.63258,1.23446,1.54425,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6264.83,1.32091,1.4426,1.49925,0.95677,0.64621,0.71516,0.40752,1.64165,1.24151,1.54611,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6366.09,1.30205,1.42393,1.48564,0.91834,0.64234,0.71353,0.40622,1.63566,1.2257,1.5562,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6467.57,1.31142,1.42388,1.48694,0.93644,0.64234,0.72161,0.41257,1.63443,1.21226,1.5555,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6568.98,1.30411,1.4352,1.47766,0.93352,0.65693,0.71783,0.41694,1.66154,1.24962,1.55892,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6670.18,1.28305,1.40792,1.47023,0.86741,0.65693,0.70922,0.41019,1.67794,1.27721,1.56664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6771.54,1.27042,1.3534,1.45547,0.86729,0.67883,0.71226,0.40611,1.67897,1.25006,1.56408,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6872.04,1.26482,1.36756,1.45604,0.88072,0.67883,0.71103,0.40589,1.68825,1.2502,1.56417,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6973.21,1.2579,1.33131,1.45261,0.907,0.66423,0.71501,0.4062,1.6831,1.22924,1.56288,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,7074.69,1.25935,1.31144,1.44585,0.94586,0.62774,0.71426,0.414,1.67104,1.23472,1.56369,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7175.84,1.26007,1.34752,1.44078,0.95914,0.62774,0.71558,0.41858,1.67532,1.2286,1.56365,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7276.9,1.23765,1.30607,1.42494,0.98432,0.63504,0.71637,0.41085,1.67401,1.23122,1.55866,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,7378.32,1.22686,1.28878,1.42269,0.96664,0.63448,0.71713,0.41148,1.67017,1.22626,1.56311,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7480.22,1.23137,1.29288,1.42669,0.98848,0.62655,0.71532,0.4054,1.66321,1.235,1.56031,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7580.8,1.22484,1.28572,1.42071,0.97586,0.64234,0.71749,0.41008,1.65107,1.24585,1.55683,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
